iter,time,reward,steps,convergence,policy
1,5.570738000001185,-9863.0,9965.0,79.73400000000001,False
2,28.785981000000405,-11424.0,11526.0,68.218788,False
3,6.432006000000712,-232.0,334.0,55.78591231082965,False
4,10.962284999999738,-7346.0,7448.0,44.28230724908077,False
5,7.789284999999424,71.0,31.0,33.2210109925171,False
6,7.04868099999878,89.0,13.0,24.947984829384175,False
7,7.865991999999267,80.0,22.0,24.670094193439496,False
8,10.775691000000975,84.0,18.0,20.968744382151428,False
9,15.688923999999105,87.0,15.0,25.153340119924714,False
10,15.979931000000391,79.0,23.0,19.754867301113,True
11,29.10596200000093,84.0,18.0,18.213008392568767,True
12,33.74812100000035,87.0,15.0,14.22121234493303,True
13,29.744989000001,82.0,20.0,10.02905514951842,False
14,42.04084400000063,88.0,14.0,6.8439993545234685,False
15,56.320487000000696,84.0,18.0,4.343551325060318,True
16,47.601192000000125,88.0,14.0,2.5436378356510403,False
17,44.10579800000036,82.0,20.0,1.3913820470635727,True
18,26.074321999999484,88.0,14.0,0.7224682413035453,True
19,22.511551000000907,86.0,16.0,0.36068816601229514,True
20,27.271578000000574,86.0,16.0,0.17472214078259185,True
21,45.420589999999095,88.0,14.0,0.08267988769627266,True
22,30.876616000000467,88.0,14.0,0.03841188658908834,True
23,43.81828400000032,89.0,13.0,0.01758568518657455,True
24,41.66375699999847,79.0,23.0,0.007955851496362243,True
25,52.9801980000002,83.0,19.0,0.003564212453497362,True
26,36.893202999999986,85.0,17.0,0.0015837981285926617,True
27,28.052532999998547,86.0,16.0,0.0006989671603747638,True
28,40.90542799999852,89.0,13.0,0.0003066808531144716,True
29,31.6471449999991,87.0,15.0,0.00013389353587456299,True
30,28.872356999999127,88.0,14.0,5.8207978895552515e-05,True
31,34.969153000000475,87.0,15.0,2.5212310475808408e-05,True
32,35.603578999999996,87.0,15.0,1.0885980358921188e-05,True
33,34.59346900000071,87.0,15.0,4.687405748882156e-06,True
34,40.12526100000002,86.0,16.0,2.0135687890388e-06,True
35,41.095135999999144,85.0,17.0,8.63189455913016e-07,True
36,33.95388399999888,84.0,18.0,3.693769485835219e-07,True
37,41.28736200000027,87.0,15.0,1.5781932916070218e-07,True
38,41.86172899999896,86.0,16.0,6.733901614097704e-08,True
39,42.75920199999916,87.0,15.0,2.869907689273532e-08,True
40,44.625813999999764,84.0,18.0,1.2218876577207993e-08,True
41,38.25260099999994,88.0,14.0,5.197762220632285e-09,True
42,42.86775499999962,87.0,15.0,2.2094184259913163e-09,True
43,47.3084539999995,87.0,15.0,9.385416888108011e-10,True
44,41.626122000000265,86.0,16.0,3.984723662142642e-10,True
45,41.62781900000034,89.0,13.0,1.6910917111090384e-10,True
46,49.0831440000008,85.0,17.0,7.173639460233971e-11,True
47,49.15365699999974,78.0,24.0,3.041122909053229e-11,True
48,53.93528199999942,87.0,15.0,1.2889245226688217e-11,True
49,49.933678999998676,83.0,19.0,5.4711790653527714e-12,True
50,46.10749399999925,86.0,16.0,2.3021584638627246e-12,True
51,51.082065999999315,88.0,14.0,1.0089706847793423e-12,True
52,47.82167599999987,85.0,17.0,4.263256414560601e-13,True
53,53.76131800000117,85.0,17.0,1.7053025658242404e-13,True
54,61.14644600000041,87.0,15.0,8.526512829121202e-14,True
55,71.81554599999984,86.0,16.0,2.8421709430404007e-14,True
56,63.385556000000065,86.0,16.0,0.0,True
57,63.153667999999996,85.0,17.0,0.0,True
58,57.68026900000045,87.0,15.0,0.0,True
59,105.30470099999967,73.0,29.0,0.0,True
60,119.05488200000036,85.0,17.0,0.0,True
61,63.158580999999714,85.0,17.0,0.0,True
62,58.22079000000002,87.0,15.0,0.0,True
63,78.05742899999935,88.0,14.0,0.0,True
64,77.34412699999993,85.0,17.0,0.0,True
65,76.27979099999926,87.0,15.0,0.0,True
66,62.96660900000006,88.0,14.0,0.0,True
67,64.5924640000004,88.0,14.0,0.0,True
68,88.40773400000046,83.0,19.0,0.0,True
69,71.92246600000018,84.0,18.0,0.0,True
70,68.67633299999909,82.0,20.0,0.0,True
71,65.10768899999952,87.0,15.0,0.0,True
72,67.12965999999909,86.0,16.0,0.0,True
73,73.98032400000076,86.0,16.0,0.0,True
74,76.66191600000083,85.0,17.0,0.0,True
75,73.29176300000029,85.0,17.0,0.0,True
76,73.04312700000004,85.0,17.0,0.0,True
77,77.52955199999967,78.0,24.0,0.0,True
78,77.67144000000137,85.0,17.0,0.0,True
79,81.73842000000064,88.0,14.0,0.0,True
80,79.14449099999743,79.0,23.0,0.0,True
81,79.41393700000177,85.0,17.0,0.0,True
82,79.91273200000037,85.0,17.0,0.0,True
83,88.89964299999775,89.0,13.0,0.0,True
84,81.69437600000151,86.0,16.0,0.0,True
85,83.3423179999997,79.0,23.0,0.0,True
86,82.90045199999696,87.0,15.0,0.0,True
87,83.83377799999892,82.0,20.0,0.0,True
88,142.61421500000182,85.0,17.0,0.0,True
89,106.25241199999991,79.0,23.0,0.0,True
90,100.1670929999996,82.0,20.0,0.0,True
91,101.9898640000001,86.0,16.0,0.0,True
92,100.65747600000208,80.0,22.0,0.0,True
93,92.39899900000026,86.0,16.0,0.0,True
94,86.87594299999901,89.0,13.0,0.0,True
95,88.1439090000029,85.0,17.0,0.0,True
96,94.12465200000142,88.0,14.0,0.0,True
97,88.47523500000065,86.0,16.0,0.0,True
98,89.57070800000011,87.0,15.0,0.0,True
99,95.75695299999865,88.0,14.0,0.0,True
100,92.74456800000053,86.0,16.0,0.0,True
